Unnamed: 0,DISTRITO,TIPO,ANO,AREAPOV,AREAMATO,AREAAGRIC,AREATOTAL,REACENDIMENTOS,QUEIMADA,FALSOALARME,FOGACHO,INCENDIO,AGRICOLA,NCCO,NOMECCO,DATAALERTA,HORAALERTA,LOCAL,CONCELHO,FREGUESIA,FONTEALERTA,INE,X,Y,DIA,MES,HORA,OPERADOR,PERIMETRO,APS,CAUSA,TIPOCAUSA,DHINICIO,DHFIM,DURACAO,HAHORA,DATAEXTINCAO,HORAEXTINCAO,DATA1INTERVENCAO,HORA1INTERVENCAO,QUEIMA,LAT,LON,CAUSAFAMILIA,TEMPERATURA,HUMIDADERELATIVA,VENTOINTENSIDADE,VENTOINTENSIDADE_VETOR,VENTODIRECAO_VETOR,PRECEPITACAO,FFMC,DMC,DC,ISI,BUI,FWI,DSR,THC,MODFARSITE,ALTITUDEMEDIA,DECLIVEMEDIO,HORASEXPOSICAOMEDIA,DENDIDADERV,COSN5VARIEDADE,AREAMANCHAMODFARSITE,AREASFICHEIROS_GNR,AREASFICHEIROS_GTF,FICHEIROIMAGEM_GNR,AREASFICHEIROSHP_GTF,AREASFICHEIROSHPXML_GTF,AREASFICHEIRODBF_GTF,AREASFICHEIROPRJ_GTF,AREASFICHEIROSBN_GTF,AREASFICHEIROSBX_GTF,AREASFICHEIROSHX_GTF,AREASFICHEIROZIP_SAA
6,Faro,Florestal,2018,15835.8218976296,9801.75624434306,1126.24735901912,26763.8255009918,0,0,0,0,1,0,2018080033743,8,03-08-2018,13:32,Perna da Negra (Boa Vista),Monchique,Monchique,,80903,159631,47953,3,8,13,2000333,,,60.0,Desconhecida,03-08-2018 13:32:00,11-08-2018 21:50:00,12018.0,133.618699455775,11-08-2018,21:50,03-08-2018,13:34,0,37.3968349997203,-8.58896299997966,Indeterminadas,36.3199996948242,16.6499996185303,15.3999996185303,,,0.0,96.8000030517578,132.0,637.099975585938,23.8899993896484,174.0,65.629997253418,44.75,,,328.971,30.693,,252.112,8.3,,http://fogos.icnf.pt/sgif2010/ficheiroskml/Incêndio Monchique.kmz,,,,,,,,,,
7,Faro,Florestal,2018,59.555528736372,26.63973115545,23.474881246365,109.670141138187,0,0,0,0,1,0,2018080034504,8,07-08-2018,15:43,IC27 (EN122) Km 111 (EM512. 8950 Azinhal. Portugal),Castro Marim,Azinhal,,80401,258528,35479,7,8,15,1920728,,,610.0,Desconhecida,07-08-2018 15:43:00,07-08-2018 21:36:00,353.0,18.6408171906267,07-08-2018,21:36,07-08-2018,16:07,0,37.2819444444444,-7.47194444444444,Indeterminadas,33.2099990844727,27.0400009155273,18.9200000762939,,,0.0,94.0,225.699996948242,868.400024414063,19.5599994659424,273.600006103516,60.5900001525879,38.8600006103516,,,80.9556,3.85411,,200.035,13.25,,http://fogos.icnf.pt/sgif2010/ficheiroskml/AG118766.kml,http://fogos.icnf.pt/sgif2010/ficheiroskml/AA_AG118766_2.kml,,http://fogos.icnf.pt/sgif2010/ficheiroskml/AA_AG118766_2.shp,,http://fogos.icnf.pt/sgif2010/ficheiroskml/AA_AG118766_2.dbf,http://fogos.icnf.pt/sgif2010/ficheiroskml/AA_AG118766_2.prj,,,http://fogos.icnf.pt/sgif2010/ficheiroskml/AA_AG118766_2.shx,
15,Évora,Florestal,2018,0.8076,0.0,0.0,0.8076,0,0,0,1,0,0,2018070014338,7,21-06-2018,15:35,Monte das Amoreiras,Montemor-o-novo,Cabrela,Outros,70601,169194,180994,21,6,15,2010557,,,60.0,Desconhecida,21-06-2018 15:35:00,21-06-2018 16:14:00,39.0,1.24246153846154,21-06-2018,16:14,21-06-2018,16:00,0,38.595779999627,-8.48669999996821,Indeterminadas,27.8500003814697,54.810001373291,10.0500001907349,,,0.0138999996706843,68.6999969482422,39.7000007629395,304.799987792969,0.990000009536743,59.9000015258789,3.29999995231628,0.219999998807907,,212.0,14.8444,6.07372,,37.1325,13.34,19.6668,http://fogos.icnf.pt/sgif2010/ficheiroskml/AT118173.kml,,,,,,,,,,
17,Évora,Florestal,2018,0.0,0.5256,0.0,0.5256,0,0,0,1,0,0,2018070014860,7,27-06-2018,23:56,EM531 junto antiga mina (Minas de Amianto),Portel,Santana,117,70906,230171,143432,27,6,23,2010557,,,60.0,Desconhecida,27-06-2018 23:56:00,28-06-2018 01:15:00,79.0,0.399189873417722,28-06-2018,01:15,28-06-2018,00:12,0,38.2574400001102,-7.78836200025347,Indeterminadas,25.0,42.439998626709,12.7200002670288,,,0.0,89.6999969482422,55.5999984741211,295.399993896484,7.84999990463257,75.5999984741211,23.1800003051758,7.09000015258789,,231.0,267.719,9.40768,,45.2457,6.52,4654.09,http://fogos.icnf.pt/sgif2010/ficheiroskml/AT118180.kml,,,,,,,,,,
25,Évora,Florestal,2018,0.4569,0.0,0.0,0.4569,0,0,0,1,0,0,2018070016997,7,25-07-2018,16:01,Fazenda das Piçarras,Vendas Novas,Vendas Novas,117,71201,159472,186562,25,7,16,2010557,,,60.0,Desconhecida,25-07-2018 16:01:00,25-07-2018 16:50:00,49.0,0.559469387755102,25-07-2018,16:50,25-07-2018,16:25,0,38.6455429999034,-8.59860699971517,Indeterminadas,24.2600002288818,60.310001373291,9.64999961853027,,,9.99999974737875e-05,88.0999984741211,139.199996948242,590.0,5.32000017166138,175.100006103516,24.9099998474121,8.0600004196167,,,60.2994,2.94587,,114.956,18.23,,http://fogos.icnf.pt/sgif2010/ficheiroskml/AT118230.kml,,,,,,,,,,
27,Évora,Florestal,2018,1.0933,0.0,0.0,1.0933,0,0,0,0,1,0,2018070017452,7,31-07-2018,11:28,Fazendas das Piçarras - Casal 1,Vendas Novas,Vendas Novas,Populares,71201,159530,186565,31,7,11,2010557,,,60.0,Desconhecida,31-07-2018 11:28:00,31-07-2018 12:37:00,69.0,0.950695652173913,31-07-2018,12:37,31-07-2018,11:48,0,38.6455730003781,-8.59794299973382,Indeterminadas,30.2700004577637,41.6300010681152,18.0799999237061,,,0.0,90.5999984741211,162.300003051758,642.0,11.6999998092651,198.899993896484,42.9900016784668,21.1700000762939,,,116.291,1.78214,,173.627,18.42,,http://fogos.icnf.pt/sgif2010/ficheiroskml/AT118238.kml,,,,,,,,,,
53,Évora,Florestal,2018,0.0,2.2574,0.0,2.2574,0,0,0,0,1,0,2018070002900,7,04-02-2018,15:53,Herdade dos Galegos e Rio Torto,Portel,Portel,117,70905,243045,147671,4,2,15,2010557,,,630.0,Desconhecida,04-02-2018 15:53:00,04-02-2018 18:02:00,129.0,1.04995348837209,04-02-2018,18:02,04-02-2018,16:56,0,38.2951030000051,-7.64102799998389,Indeterminadas,10.3999996185303,63.0,13.0,,,0.0,85.6999969482422,13.1999998092651,361.700012207031,4.40000009536743,24.2000007629395,7.80000019073486,1.03999996185303,15.5107002258301,,300.687,4.01963,,91.5672,15.25,,http://fogos.icnf.pt/sgif2010/ficheiroskml/AT11833.kml,,,,,,,,,,
73,Évora,Florestal,2018,0.0,0.0215,0.0,0.0215,0,0,0,1,0,0,2018070003930,7,15-02-2018,15:32,Herdade da Ameira - Pintada,Montemor-o-novo,Nossa Senhora da Vila,Populares,70604,195768,185359,15,2,15,2010557,,,610.0,Desconhecida,15-02-2018 15:32:00,15-02-2018 15:50:00,18.0,0.0716666666666667,15-02-2018,15:50,15-02-2018,15:42,0,38.635627000067,-8.18168700006273,Indeterminadas,14.3000001907349,75.0,7.0,,,0.100000001490116,81.9000015258789,13.0,411.899993896484,2.0,24.2000007629395,3.5,0.25,19.8834991455078,,208.083,4.15181,,196.667,26.07,,http://fogos.icnf.pt/sgif2010/ficheiroskml/AT11859.kml,,,,,,,,,,
75,Portalegre,Florestal,2018,0.0,0.0133,0.0,0.0133,0,0,0,1,0,0,2018120002236,12,01-02-2018,18:13,Monte do Outeiro (Monte da Barroca),Elvas,Terrugem,117,120709,263885,208306,1,2,18,1910166,,,610.0,Desconhecida,01-02-2018 18:13:00,01-02-2018 18:44:00,31.0,0.025741935483871,01-02-2018,18:44,01-02-2018,18:39,0,38.8400369999144,-7.39727499961853,Indeterminadas,11.5,73.0,15.0,,,0.0,84.0,11.1000003814697,491.799987792969,3.90000009536743,21.0,6.5,0.759999990463257,17.4382991790771,231.0,260.994,4.0799,,62.2247,5.88,10809.9,http://fogos.icnf.pt/sgif2010/ficheiroskml/2236_area.kml,,,,,,,,,,
91,Portalegre,Florestal,2018,47.60009644597,0.0,72.0429561533,119.64305259927,0,0,0,0,1,0,2018120016606,12,04-08-2018,16:29,Fonte Santa (Taipas),Crato,Monte da Pedra,Populares,120605,233310,264643,4,8,16,1910166,,,51.0,Natural,04-08-2018 16:29:00,04-08-2018 20:34:00,245.0,29.3003394120661,04-08-2018,20:34,04-08-2018,16:48,0,39.3491700002882,-7.74667000028822,Naturais,41.4199981689453,14.4799995422363,8.40999984741211,,,0.0,98.3000030517578,171.600006103516,686.799987792969,20.4699993133545,211.199996948242,61.3600006103516,39.7299995422363,,,211.735,8.97394,,78.1835,13.69,,http://fogos.icnf.pt/sgif2010/ficheiroskml/AA_AT218209_1.kml,http://fogos.icnf.pt/sgif2010/GTF_kml/AA_AT218209_1.kml,,http://fogos.icnf.pt/sgif2010/GTF_kml/AA_AT218209_1.shp,,http://fogos.icnf.pt/sgif2010/GTF_kml/AA_AT218209_1.dbf,http://fogos.icnf.pt/sgif2010/GTF_kml/AA_AT218209_1.prj,,,http://fogos.icnf.pt/sgif2010/GTF_kml/AA_AT218209_1.shx,
